#queryid	MCT.f.0089	MCT.f.0091	MCT.f.0094	MCT.f.0095	MCT.f.0096	MCT.f.0098	MCT.f.0099	MCT.f.0102	MCT.f.0417	taxonomy
cazy_0181_gene_4354	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme
cazy_0059_gene_19	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM12
cazy_0131_gene_3281	0.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0132_gene_3281	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	3.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0153_gene_3825	0.0	0.0	1.0	7.0	0.0	0.0	4.0	0.0	5.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0168_gene_4117	0.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0182_gene_4354	9.0	2.0	0.0	12.0	2.0	0.0	12.0	0.0	13.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_0319_gene_7985	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_0044_gene_1759	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM26
cazy_0045_gene_1760	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM26
cazy_0046_gene_1760	1.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	6.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM26
cazy_0067_gene_2062	0.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	3.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM26
cazy_0068_gene_2062	0.0	0.0	0.0	3.0	2.0	0.0	1.0	0.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM26
cazy_0090_gene_2375	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM26
cazy_0092_gene_2375	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	3.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM26
cazy_0330_gene_8296	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM26
cazy_0331_gene_8296	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM26
cazy_0332_gene_8296	1.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM26
cazy_0053_gene_1859	1.0	0.0	0.0	5.0	0.0	0.0	4.0	0.0	7.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0074_gene_2140	2.0	2.0	0.0	2.0	0.0	0.0	3.0	0.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0085_gene_2270	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0098_gene_2490	3.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0099_gene_2507	2.0	2.0	1.0	9.0	0.0	0.0	7.0	0.0	8.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0129_gene_3244	2.0	4.0	0.0	12.0	4.0	1.0	8.0	0.0	8.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0147_gene_3675	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0163_gene_4073	4.0	8.0	2.0	0.0	0.0	0.0	1.0	0.0	3.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0175_gene_4248	1.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	2.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0185_gene_4482	6.0	1.0	1.0	11.0	0.0	0.0	6.0	0.0	3.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0230_gene_5665	2.0	1.0	0.0	2.0	1.0	2.0	2.0	0.0	3.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0231_gene_5665	6.0	1.0	0.0	7.0	1.0	0.0	4.0	0.0	6.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0293_gene_7319	11.0	5.0	1.0	11.0	2.0	0.0	10.0	0.0	10.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM32
cazy_0050_gene_1836	2.0	4.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM34
cazy_0295_gene_7413	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM37
cazy_0303_gene_7612	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM37
cazy_0334_gene_8315	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM37
cazy_0373_gene_974	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM37
cazy_0071_gene_208	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM44
cazy_0118_gene_2942	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM48
cazy_0124_gene_3041	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM48
cazy_0272_gene_6552	2.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM48
cazy_0343_gene_8662	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM48
cazy_0350_gene_9017	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM48
