#queryid	MCT.f.0052	MCT.f.0053	MCT.f.0054	MCT.f.0055	MCT.f.0056	MCT.f.0057	MCT.f.0058	MCT.f.0059	MCT.f.0060	MCT.f.0061	MCT.f.0063	MCT.f.0064	MCT.f.0065	MCT.f.0066	MCT.f.0067	MCT.f.0068	taxonomy
cazy_0087_gene_11581	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	4.0	0.0	0.0	1.0	1.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM13
cazy_0430_gene_1918	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM13
cazy_0885_gene_7912	1.0	0.0	2.0	3.0	0.0	1.0	3.0	1.0	5.0	1.0	9.0	0.0	0.0	5.0	5.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM13
cazy_0977_gene_9052	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	3.0	0.0	2.0	2.0	3.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM13
cazy_0085_gene_11580	0.0	1.0	0.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM16
cazy_0762_gene_6345	2.0	0.0	4.0	6.0	0.0	4.0	2.0	0.0	3.0	3.0	13.0	0.0	6.0	16.0	9.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM16
cazy_0661_gene_5004	0.0	1.0	2.0	8.0	1.0	3.0	0.0	0.0	0.0	1.0	2.0	0.0	4.0	9.0	3.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0662_gene_5004	0.0	1.0	2.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	0.0	3.0	13.0	5.0	3.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0264_gene_1513	0.0	0.0	0.0	3.0	0.0	7.0	1.0	0.0	2.0	1.0	4.0	0.0	1.0	6.0	2.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_0836_gene_7297	3.0	11.0	11.0	19.0	0.0	9.0	1.0	2.0	14.0	7.0	21.0	1.0	20.0	30.0	18.0	8.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
