#queryid	MCT.f.0086	MCT.f.0409	MCT.f.0410	MCT.f.0411	MCT.f.0412	MCT.f.0413	MCT.f.0414	MCT.f.0415	MCT.f.0416	MCT.f.0418	MCT.f.0419	MCT.f.0420	MCT.f.0421	MCT.f.0422	MCT.f.0423	MCT.f.0424	MCT.f.0425	taxonomy
cazy_0854_gene_6965	4.0	0.0	1.0	4.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	5.0	1.0	2.0	2.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM13
cazy_0964_gene_8633	2.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM13
cazy_0098_gene_11453	1.0	0.0	1.0	6.0	2.0	0.0	7.0	0.0	0.0	4.0	3.0	4.0	5.0	3.0	2.0	10.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM16
cazy_0986_gene_8783	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	4.0	2.0	3.0	1.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM16
cazy_0063_gene_1093	4.0	0.0	4.0	3.0	2.0	0.0	4.0	1.0	6.0	1.0	1.0	5.0	3.0	1.0	3.0	2.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0065_gene_1093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0645_gene_3910	2.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	2.0	3.0	1.0	1.0	1.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0646_gene_3910	1.0	0.0	3.0	1.0	2.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	4.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0657_gene_4037	1.0	0.0	1.0	1.0	6.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0658_gene_4037	1.0	0.0	1.0	0.0	3.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	2.0	1.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM20
cazy_0090_gene_11320	1.0	1.0	4.0	6.0	2.0	0.0	3.0	0.0	1.0	0.0	0.0	3.0	3.0	0.0	2.0	6.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_0138_gene_12321	1.0	1.0	0.0	2.0	5.0	0.0	9.0	0.0	2.0	4.0	0.0	1.0	9.0	0.0	1.0	3.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_0358_gene_1781	2.0	0.0	0.0	0.0	3.0	0.0	2.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_0818_gene_6441	13.0	1.0	7.0	12.0	5.0	0.0	11.0	5.0	5.0	4.0	1.0	8.0	15.0	4.0	10.0	9.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_0961_gene_860	1.0	0.0	0.0	3.0	2.0	0.0	2.0	1.0	1.0	3.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM22
cazy_0524_gene_2357	7.0	0.0	3.0	5.0	1.0	0.0	3.0	1.0	5.0	2.0	3.0	2.0	6.0	1.0	1.0	5.0	1.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM30
cazy_0680_gene_4355	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM30
cazy_0723_gene_5160	2.0	1.0	2.0	2.0	2.0	0.0	3.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	3.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM30
cazy_0942_gene_8295	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM30
cazy_0967_gene_8639	0.0	0.0	0.0	1.0	3.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	4.0	2.0	0.0	L1_CAZyme;L2_Associated_Modules;L3_Carbohydrate-BindingModules;L4_CBM30
