food	cazyme	coef	id	fdr_p	p	cazy_cat	bin
Oils	GH38	-1	MCTs05	0	0	GH	Negative (+/-)
Grains	GH30	-1	MCTs05	0	0	GH	Negative (+/-)
Grains	CBM48	1	MCTs05	0	0	CBM	Positive (+/+ or -/-)
Vegetables	GH31	1	MCTs05	0	0	GH	Positive (+/+ or -/-)
Legumes	PL9	0.815727277944657	MCTs10	0.0700529285753847	6.55926297522328e-05	PL	Positive (+/+ or -/-)
Fats	GH88	0.83132949540127	MCTs10	0.0567899362755829	3.54493984242091e-05	GH	Positive (+/+ or -/-)
Grains	CE12	-0.87063167805102	MCTs10	0.0175104535841513	5.46518526346794e-06	CE	Negative (+/-)
Grains	GH92	-0.801962137246996	MCTs10	0.0864111065534236	0.000107879034398781	GH	Negative (+/-)
Fruits	GT35	-0.888111888111888	MCTs13	0.0543275927175818	0.00011413359814618	GT	Negative (+/-)
Meats	GT83	0.865150188397858	MCTs13	0.0884762918559654	0.000278811844083925	GT	Positive (+/+ or -/-)
Meats	GH88	-0.896939155114832	MCTs13	0.0543275927175818	7.68462736495474e-05	GH	Negative (+/-)
Meats	GT20	0.875583460945431	MCTs13	0.0722916811323348	0.000189841599612224	GT	Positive (+/+ or -/-)
Sweets and Beverages	GH95	0.888111888111888	MCTs13	0.0543275927175818	0.00011413359814618	GH	Positive (+/+ or -/-)
Sweets and Beverages	GT4	-0.916083916083916	MCTs13	0.054126998343634	2.84280453485473e-05	GT	Negative (+/-)
Meats	CE1	-0.879314963590865	MCTs19	0.0574837936026598	1.57059545362459e-05	CE	Negative (+/-)
Sweets and Beverages	GH106	-0.937062937062937	MCTs20	0.0276929332147138	6.99316495321055e-06	GH	Negative (+/-)
Vegetables	GT35	1	MCTs29	7.19655385645138e-37	1.41108899146106e-39	GT	Positive (+/+ or -/-)
Fruits	GH94	0.69156816572922	MCTs32	0.0972633713957922	0.00210371789732442	GH	Positive (+/+ or -/-)
