food,cazyme,coef,id,fdr_p,cazy_cat,bin
Fruits,CBM12,1,MCTs05,0,CBM,Positive (+/+ or -/-)
Fruits,CBM35,1,MCTs05,0,CBM,Positive (+/+ or -/-)
Fruits,CBM69,-1,MCTs05,0,CBM,Negative (+/-)
Fruits,GH24,-0.979795897113271,MCTs05,0.088947048127764,GH,Negative (+/-)
Grains,GH24,-0.979795897113271,MCTs05,0.088947048127764,GH,Negative (+/-)
Grains,GH24,-0.979795897113271,MCTs05,0.088947048127764,GH,Negative (+/-)
Grains,CBM12,1,MCTs05,0,CBM,Positive (+/+ or -/-)
Grains,CBM35,1,MCTs05,0,CBM,Positive (+/+ or -/-)
Grains,CBM69,-1,MCTs05,0,CBM,Negative (+/-)
Meats,GH24,-0.979795897113271,MCTs05,0.088947048127764,GH,Negative (+/-)
Sweets and Beverages,GH24,-0.979795897113271,MCTs05,0.088947048127764,GH,Negative (+/-)
Sweets and Beverages,GH24,-0.979795897113271,MCTs05,0.088947048127764,GH,Negative (+/-)
Legumes,GH27,-0.924634790038475,MCTs06,0.0991124928798029,GH,Negative (+/-)
Fruits,CE6,-1,MCTs06,0,CE,Negative (+/-)
Fruits,GH106,-1,MCTs06,0,GH,Negative (+/-)
Fruits,GH133,-1,MCTs06,0,GH,Negative (+/-)
Fruits,GH33,-1,MCTs06,0,GH,Negative (+/-)
Fruits,GT3,-1,MCTs06,0,GT,Negative (+/-)
Fruits,GT83,-1,MCTs06,0,GT,Negative (+/-)
Grains,GH27,-0.99498743710662,MCTs06,1.00760385208924e-05,GH,Negative (+/-)
Meats,GH27,-0.99498743710662,MCTs06,1.00760385208924e-05,GH,Negative (+/-)
Meats,GT27,-0.949543391879078,MCTs06,0.0277178955826347,GT,Negative (+/-)
Meats,GH117,-0.891934724512374,MCTs09,0.0156903246269418,GH,Negative (+/-)
Nuts,CBM44,0.779422863405995,MCTs16,0.0707591271989236,CBM,Positive (+/+ or -/-)
Eggs,CBM44,0.779422863405995,MCTs16,0.0707591271989236,CBM,Positive (+/+ or -/-)
Fats,CBM26,-0.83452296039628,MCTs16,0.0291413560173759,CBM,Negative (+/-)
Sweets and Beverages,CE8,-0.792026006394484,MCTs16,0.0587892662852103,CE,Negative (+/-)
Sweets and Beverages,GH38,-0.839146391678274,MCTs16,0.0289384294009859,GH,Negative (+/-)
Vegetables,CBM30,0.822132107147103,MCTs16,0.0349895236838846,CBM,Positive (+/+ or -/-)
Vegetables,CBM40,0.766401244628814,MCTs16,0.084013646249373,CBM,Positive (+/+ or -/-)
Vegetables,CBM48,0.875921948483065,MCTs16,0.0228501679862217,CBM,Positive (+/+ or -/-)
Vegetables,CBM50,0.771111774182636,MCTs16,0.0785360420077714,CBM,Positive (+/+ or -/-)
Vegetables,CBM66,0.833142000526708,MCTs16,0.0291413560173759,CBM,Positive (+/+ or -/-)
Vegetables,CE1,0.837210641945129,MCTs16,0.0289384294009859,CE,Positive (+/+ or -/-)
Vegetables,CE10,0.881726093761165,MCTs16,0.0228501679862217,CE,Positive (+/+ or -/-)
Vegetables,CE12,0.821184912303054,MCTs16,0.0349895236838846,CE,Positive (+/+ or -/-)
Vegetables,CE14,0.785534908305098,MCTs16,0.0637568475963006,CE,Positive (+/+ or -/-)
Vegetables,CE3,0.855890589560781,MCTs16,0.0228501679862217,CE,Positive (+/+ or -/-)
