source	target	source_node_type	target_node_type
MCTs29	CBM12	MCT	CBM
MCTs29	CBM16	MCT	CBM
MCTs29	CBM30	MCT	CBM
MCTs29	CBM32	MCT	CBM
MCTs29	CBM34	MCT	CBM
MCTs29	CBM35	MCT	CBM
MCTs29	CBM48	MCT	CBM
MCTs29	CBM50	MCT	CBM
MCTs29	CBM58	MCT	CBM
MCTs29	AA6	MCT	AA
MCTs29	CE1	MCT	CE
MCTs29	CE10	MCT	CE
MCTs29	CE14	MCT	CE
MCTs29	CE3	MCT	CE
MCTs29	CE4	MCT	CE
MCTs29	CE7	MCT	CE
MCTs29	CE8	MCT	CE
MCTs29	CE9	MCT	CE
MCTs29	GH1	MCT	GH
MCTs29	GH105	MCT	GH
MCTs29	GH108	MCT	GH
MCTs29	GH109	MCT	GH
MCTs29	GH112	MCT	GH
MCTs29	GH113	MCT	GH
MCTs29	GH115	MCT	GH
MCTs29	GH123	MCT	GH
MCTs29	GH125	MCT	GH
MCTs29	GH127	MCT	GH
MCTs29	GH13	MCT	GH
MCTs29	GH130	MCT	GH
MCTs29	GH137	MCT	GH
MCTs29	GH141	MCT	GH
MCTs29	GH144	MCT	GH
MCTs29	GH145	MCT	GH
MCTs29	GH2	MCT	GH
MCTs29	GH20	MCT	GH
MCTs29	GH23	MCT	GH
MCTs29	GH24	MCT	GH
MCTs29	GH25	MCT	GH
MCTs29	GH28	MCT	GH
MCTs29	GH29	MCT	GH
MCTs29	GH3	MCT	GH
MCTs29	GH31	MCT	GH
MCTs29	GH4	MCT	GH
MCTs29	GH43	MCT	GH
MCTs29	GH51	MCT	GH
MCTs29	GH53	MCT	GH
MCTs29	GH63	MCT	GH
MCTs29	GH73	MCT	GH
MCTs29	GH77	MCT	GH
MCTs29	GH8	MCT	GH
MCTs29	GH88	MCT	GH
MCTs29	GH9	MCT	GH
MCTs29	GH92	MCT	GH
MCTs29	GH94	MCT	GH
MCTs29	GH97	MCT	GH
MCTs29	GT11	MCT	GT
MCTs29	GT2	MCT	GT
MCTs29	GT27	MCT	GT
MCTs29	GT28	MCT	GT
MCTs29	GT32	MCT	GT
MCTs29	GT35	MCT	GT
MCTs29	GT4	MCT	GT
MCTs29	GT51	MCT	GT
MCTs29	GT83	MCT	GT
MCTs29	PL22	MCT	PL
MCTs29	PL26	MCT	PL
MCTs37	CBM16	MCT	CBM
MCTs37	CBM20	MCT	CBM
