food,cazyme,coef,id,fdr_p,p,cazy_cat,bin,pairs,detect_dup
Eggs,CBM50,0.872549019607843,MCTs37,0.00417078133669762,4.9145946739401e-06,CBM,Positive (+/+ or -/-),Eggs_CBM50,Eggs_CBM50_MCTs37
Meats,CE4,-0.86764705882353,MCTs37,0.00417078133669762,6.42647355423362e-06,CE,Negative (+/-),Meats_CE4,Meats_CE4_MCTs37
Grains,CE12,-0.845588235294118,MCTs32,0.00725599578022317,1.90947257374294e-05,CE,Negative (+/-),Grains_CE12,Grains_CE12_MCTs32
Grains,GH53,-0.801470588235294,MCTs32,0.0138998095017518,0.000109735338171724,GH,Negative (+/-),Grains_GH53,Grains_GH53_MCTs32
Grains,GH95,-0.803921568627451,MCTs32,0.0138998095017518,0.000100739403001067,GH,Negative (+/-),Grains_GH95,Grains_GH95_MCTs32
Sweets and Beverages,GH106,-0.93006993006993,MCTs20,0.0140309712864629,1.17022279286597e-05,GH,Negative (+/-),Sweets and Beverages_GH106,Sweets and Beverages_GH106_MCTs20
Vegetables,GT26,0.857843137254902,MCTs23,0.0151814436885423,1.06611261857741e-05,GT,Positive (+/+ or -/-),Vegetables_GT26,Vegetables_GT26_MCTs23
Grains,GH28,-0.781862745098039,MCTs32,0.0198703714106002,0.000209161804322107,GH,Negative (+/-),Grains_GH28,Grains_GH28_MCTs32
Meats,GH138,-0.823529411764706,MCTs37,0.0210170141390842,4.85755334493471e-05,GH,Negative (+/-),Meats_GH138,Meats_GH138_MCTs37
Vegetables,GH125,-0.838235294117647,MCTs18,0.0266758538350018,2.64641407093272e-05,GH,Negative (+/-),Vegetables_GH125,Vegetables_GH125_MCTs18
Grains,GH94,-0.75,MCTs32,0.0332962833628334,0.000525730789939475,GH,Negative (+/-),Grains_GH94,Grains_GH94_MCTs32
Grains,GH51,-0.74264705882353,MCTs32,0.0346476775201733,0.000638246691161088,GH,Negative (+/-),Grains_GH51,Grains_GH51_MCTs32
Fruits,GT94,-0.89010989010989,MCTs34,0.0357297585640056,4.5654374407447e-05,GT,Negative (+/-),Fruits_GT94,Fruits_GT94_MCTs34
Sweets and Beverages,GH10,0.884615384615385,MCTs34,0.0357297585640056,5.90574521719101e-05,GH,Positive (+/+ or -/-),Sweets and Beverages_GH10,Sweets and Beverages_GH10_MCTs34
Sweets and Beverages,GH130,0.902097902097902,MCTs20,0.0359571553919935,5.9978574465377e-05,GH,Positive (+/+ or -/-),Sweets and Beverages_GH130,Sweets and Beverages_GH130_MCTs20
Grains,GT3,0.727941176470588,MCTs32,0.0438732103941715,0.000923646534614136,GT,Positive (+/+ or -/-),Grains_GT3,Grains_GT3_MCTs32
Grains,CBM20,0.841176470588235,MCTs07,0.0447590560994393,4.44290429431383e-05,CBM,Positive (+/+ or -/-),Grains_CBM20,Grains_CBM20_MCTs07
Grains,GH57,0.844117647058823,MCTs07,0.0447590560994393,3.93024273739987e-05,GH,Positive (+/+ or -/-),Grains_GH57,Grains_GH57_MCTs07
Grains,PL22,0.838235294117647,MCTs07,0.0447590560994393,5.01034210068351e-05,PL,Positive (+/+ or -/-),Grains_PL22,Grains_PL22_MCTs07
Legumes,AA6,-0.888111888111888,MCTs20,0.0456153947257567,0.00011413359814618,AA,Negative (+/-),Legumes_AA6,Legumes_AA6_MCTs20
Grains,CBM66,0.713235294117647,MCTs32,0.0488728484377501,0.00130725178033785,CBM,Positive (+/+ or -/-),Grains_CBM66,Grains_CBM66_MCTs32
Grains,GH2,-0.705882352941177,MCTs32,0.0488728484377501,0.00154335310856053,GH,Negative (+/-),Grains_GH2,Grains_GH2_MCTs32
Grains,GH5,-0.713235294117647,MCTs32,0.0488728484377501,0.00130725178033785,GH,Negative (+/-),Grains_GH5,Grains_GH5_MCTs32
Grains,GH76,0.708333333333333,MCTs32,0.0488728484377501,0.00146104977384656,GH,Positive (+/+ or -/-),Grains_GH76,Grains_GH76_MCTs32
Grains,GH142,0.693627450980392,MCTs32,0.058874977757071,0.0020141439758998,GH,Positive (+/+ or -/-),Grains_GH142,Grains_GH142_MCTs32
Grains,GH67,-0.688725490196079,MCTs32,0.0606019037654866,0.00223270171767582,GH,Negative (+/-),Grains_GH67,Grains_GH67_MCTs32
Grains,GH110,0.676470588235294,MCTs32,0.0672273156153812,0.00286506386532915,GH,Positive (+/+ or -/-),Grains_GH110,Grains_GH110_MCTs32
