nodes	type
Fruits_CBM12	CBM
Grains_CBM12	CBM
Nuts_PL1	PL
Legumes_GT32	GT
Fruits_CBM13	CBM
Fruits_CBM34	CBM
Fruits_GH137	GH
Fruits_GT8	GT
Fruits_PL12	PL
Fruits_PL13	PL
Fruits_PL22	PL
Fruits_CBM37	CBM
Fruits_CBM4	CBM
Fruits_CBM40	CBM
Fruits_CBM57	CBM
Fruits_CE14	CE
Fruits_GH10	GH
Fruits_GH108	GH
Fruits_GH133	GH
Fruits_GH139	GH
Fruits_GH141	GH
Fruits_GH144	GH
Fruits_GH26	GH
Fruits_GH51	GH
Fruits_GH65	GH
Fruits_GH67	GH
Fruits_GH8	GH
Fruits_GH88	GH
Fruits_GH89	GH
Fruits_PL10	PL
Fruits_PL11	PL
Fruits_PL26	PL
Fruits_PL8	PL
Grains_CBM40	CBM
Grains_CE4	CE
Grains_GH57	GH
Grains_GH74	GH
Grains_PL13	PL
Grains_CBM20	CBM
Grains_CBM22	CBM
Grains_CBM32	CBM
Grains_CBM37	CBM
Grains_CBM48	CBM
Grains_CBM50	CBM
Grains_CBM61	CBM
Grains_CBM62	CBM
Grains_CBM66	CBM
Grains_CE11	CE
Grains_CE12	CE
Grains_CE14	CE
Grains_CE2	CE
Grains_CE7	CE
Grains_CE8	CE
Grains_CE9	CE
Grains_GH1	GH
Grains_GH10	GH
Grains_GH105	GH
Grains_GH106	GH
Grains_GH109	GH
Grains_GH110	GH
Grains_GH115	GH
Grains_GH125	GH
Grains_GH127	GH
Grains_GH13	GH
Grains_GH130	GH
Grains_GH133	GH
Grains_GH138	GH
Grains_GH139	GH
Grains_GH140	GH
Grains_GH141	GH
Grains_GH142	GH
Grains_GH143	GH
Grains_GH144	GH
Grains_GH145	GH
Grains_GH15	GH
Grains_GH18	GH
Grains_GH2	GH
Grains_GH20	GH
Grains_GH23	GH
Grains_GH24	GH
Grains_GH25	GH
Grains_GH27	GH
Grains_GH28	GH
Grains_GH29	GH
Grains_GH3	GH
Grains_GH30	GH
Grains_GH31	GH
Grains_GH32	GH
Grains_GH33	GH
Grains_GH35	GH
Grains_GH36	GH
Grains_GH38	GH
Grains_GH42	GH
Grains_GH43	GH
Grains_GH5	GH
Grains_GH51	GH
Grains_GH53	GH
Grains_GH55	GH
Grains_GH63	GH
Grains_GH65	GH
Grains_GH67	GH
Grains_GH73	GH
Grains_GH76	GH
Grains_GH77	GH
Grains_GH78	GH
Grains_GH89	GH
Grains_GH92	GH
Grains_GH94	GH
Grains_GH95	GH
Grains_GH97	GH
Grains_GH99	GH
Grains_GT14	GT
Grains_GT19	GT
Grains_GT2	GT
Grains_GT21	GT
